	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	efficiency_lfc	logBaseMean
YER125W	309.778259755	-2.4972523246	0.312290245616	63.0579435827	2.00714280311e-15	3.63694275923e-12	-2.4972523246	2.4910509357
YER126C	219.476417867	-1.10096284061	0.362120217098	9.16866751294	0.0024619375735	0.0557628860398	-1.10096284061	2.34138786335
YER130C	102.93146971	1.63853447915	0.461744584663	12.7951183031	0.000347525006102	0.0135909779365	1.63853447915	2.0125481739
YER131W	1125.43424334	-1.21124427989	0.41493631325	8.44824725087	0.0036539542218	0.0723444097184	-1.21124427989	3.0513201252
YER165W	2827.00437611	-0.751845246264	0.260282659917	8.32053874204	0.00391992921594	0.0750532238798	-0.751845246264	3.45132648076
YER166W	191.576592764	-1.03222701072	0.345779976152	8.86496238079	0.00290696240638	0.0619695985925	-1.03222701072	2.28234244496
YER190W	150.450366621	-2.97958543322	1.41962150804	7.71788475372	0.00546764206508	0.0934657303954	-2.97958543322	2.17739325038
YFL021W	46.2124089134	-3.0225742586	1.13221753084	10.8564586856	0.000984517825926	0.0287109663014	-3.0225742586	1.66475860757
YFL054C	20.9712074905	-4.12622234062	1.60592116593	8.68888067133	0.00320157179653	0.0659232738104	-4.12622234062	1.32162343721
YFR020W	36.4754801462	2.22596568991	0.867377703098	8.15734211128	0.00428871777591	0.0795681564158	2.22596568991	1.56200101745
YGL008C	13113.7257188	-1.03332564535	0.362074751021	8.10132679327	0.00442328681773	0.0805490778925	-1.03332564535	4.11772609591
YGL026C	849.608846248	-0.877775776091	0.30485624704	8.26549886566	0.00404055569335	0.0764559931432	-0.877775776091	2.9292190257
YGL028C	268.57302785	-0.990814528942	0.351365229088	7.92243586667	0.00488254919199	0.0853520395569	-0.990814528942	2.42906239536
YGL066W	61.8720448124	-1.5002528958	0.49504521061	8.99924576969	0.0027009105082	0.0592022158168	-1.5002528958	1.79149446928
YGL084C	191.591654976	-0.954183525078	0.33820986195	7.92676108277	0.00487089117567	0.0853520395569	-0.954183525078	2.28237658889
YGL088W	848.902872119	10.3306480117	1.4375808334	145.311596141	1.83585673488e-33	9.97971721081e-30	10.3306480117	2.92885800295
YGL125W	27.1493965228	-6.57057330896	1.58730215412	25.1699016926	5.2495109359e-07	7.71252471556e-05	-6.57057330896	1.43376018053
YGL137W	691.889602613	-0.966184605009	0.262938011232	13.4691738224	0.000242515073197	0.0108058355565	-0.966184605009	2.84003680428
YGL139W	142.116082396	-1.06857391699	0.376249066201	8.01755022829	0.00463261923188	0.0827701097145	-1.06857391699	2.15264322712
YGL148W	811.780018387	-0.910566648291	0.304945531578	8.8810720848	0.00288142291542	0.0616669880639	-0.910566648291	2.90943835714
YGL156W	40.7719680199	-3.86551244159	0.914338206063	22.4453073307	2.16213083965e-06	0.000255507461833	-3.86551244159	1.61036167489
YGL167C	395.371424216	-1.01251509188	0.277538353958	13.2648788347	0.00027042493589	0.0116917512306	-1.01251509188	2.59700527713
YGL191W	179.954314898	-1.17021133153	0.415582359364	7.83124914806	0.00513505998164	0.0888986817204	-1.17021133153	2.25516226451
YGL194C-A	5.78743849199	4.68184848008	1.76242200498	8.01216652799	0.00464641159877	0.0827701097145	4.68184848008	0.762486388435
YGL195W	1096.38777157	-1.63269700312	0.367747768037	19.49701231	1.00757152666e-05	0.000905981428106	-1.63269700312	3.03996418304
YGL196W	95.3932053366	1.3594777189	0.486770613961	8.09837522445	0.00443049563831	0.0805490778925	1.3594777189	1.9795174419
YGL200C	365.699777332	-0.891189976079	0.295061729784	9.08047973074	0.00258352267772	0.0577295851084	-0.891189976079	2.5631246959
YGL203C	159.56126861	-1.24656159775	0.337873450789	13.5371287349	0.000233889943359	0.0105076506785	-1.24656159775	2.20292748056
YGL206C	1216.47298468	-2.24404214678	0.364849781714	37.040597191	1.15695147298e-09	4.09859048105e-07	-2.24404214678	3.0851024686
YGL211W	77.1819835395	2.32290655727	0.669831276423	14.0727550461	0.000175872977388	0.00877105967966	2.32290655727	1.88751593554
YGL234W	1049.31955599	-0.86817847807	0.311133244891	7.76633180515	0.0053229035089	0.0915674160581	-0.86817847807	3.02090776681
YGL253W	2201.32326614	-1.66591248776	0.249364984214	44.1240344688	3.08213212823e-11	1.86160780545e-08	-1.66591248776	3.34268382374
YGR008C	74.4446717969	-3.32076244784	0.655412502794	28.3638751091	1.00523723234e-07	2.02387762777e-05	-3.32076244784	1.87183361959
YGR061C	1545.20972956	-2.00056263318	0.271748276076	53.3584010962	2.77920138781e-13	3.77693468603e-10	-2.00056263318	3.18898743406
YGR094W	1821.51403645	-1.18498802383	0.315992592003	13.9767777854	0.000185082550827	0.00906085295182	-1.18498802383	3.26043252223
YGR118W	2030.08874799	-1.19443741121	0.398217880888	8.92644151192	0.00281071431358	0.0609847724284	-1.19443741121	3.30751502408
YGR121C	34.7034102532	3.93567538089	1.18059502826	16.9382885102	3.86148063179e-05	0.00283662279925	3.93567538089	1.54037215437
YGR155W	1977.74351253	-1.03591687551	0.299776301434	11.8818232025	0.000566844259676	0.0196265311822	-1.03591687551	3.2961699686
YGR157W	511.948618139	-1.34833560937	0.300404447445	20.0165094209	7.67764293549e-06	0.000732204684164	-1.34833560937	2.70922637508
YGR175C	1061.9183613	-0.847556246279	0.298142189907	8.04546208788	0.00456177809824	0.0823848031297	-0.847556246279	3.02609113012
YGR204W	948.045872379	-1.63197052873	0.261695609722	38.4833567596	5.52226104142e-10	2.14421507294e-07	-1.63197052873	2.97682935173
YGR213C	109.613203046	4.29808100929	1.49831960976	11.5493933722	0.000677713654201	0.0222784286174	4.29808100929	2.03986286861
YGR218W	582.064498432	-1.19792456442	0.256946822552	21.6401712076	3.28890982005e-06	0.000372469037121	-1.19792456442	2.76497111139
YGR240C	2909.39379774	-1.64254841303	0.297983286744	30.0095607508	4.29921339676e-08	9.93243848556e-06	-1.64254841303	3.46380250867
