	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YBR279W	0.185947771639	0.190891274623	Increase	Increase
YBR280C	-1.79828287768	0.899572999773	Decrease	Increase
YBR281C	0.372701175089	-0.846182369132	Increase	Decrease
YBR282W	-0.0432815221274	0.332196943605	Decrease	Increase
YBR283C	0.133769428325	-0.498671990628	Increase	Decrease
YBR284W	0.0501846671074	-0.0381341756504	Increase	Decrease
YBR285W	-0.9291831463	0.870300309049	Decrease	Increase
YBR286W	-0.689521163036	0.0654497565832	Decrease	Increase
YBR287W	-0.824713142834	0.345761128443	Decrease	Increase
YBR288C	-0.821961361325	0.175529769029	Decrease	Increase
YBR289W	0.285974274086	0.107816210848	Increase	Increase
YBR290W	-0.446712531039	0.228184032104	Decrease	Increase
YBR291C	0.123975683736	1.09321369072	Increase	Increase
YBR293W	-1.66353518691	-0.676697176083	Decrease	Decrease
YBR294W	-0.947518903782	2.35693165548	Decrease	Increase
YBR295W	1.69120757939	-0.16873117562	Increase	Decrease
YBR296C	-0.639583780052	-1.4596565441	Decrease	Decrease
YBR297W	-0.443626548435	1.06262610074	Decrease	Increase
YBR298C	0.997780876993	1.9598604259	Increase	Increase
YBR300C	0.808005266333	-0.421048882797	Increase	Decrease
YBR301W	-0.277259020455	-0.544874700419	Decrease	Decrease
YCL001W	0.00394101929102	-0.306377587567	Increase	Decrease
YCL001W-A	-0.966953224493	2.18884166723	Decrease	Increase
YCL002C	-0.00387125332814	0.50490238652	Decrease	Increase
YCL004W	-0.670428962064	2.12022989133	Decrease	Increase
